update,count
0,70
100,70
200,70
300,70
400,70
500,70
600,70
700,70
800,70
900,70
1000,70
1100,70
1200,70
1300,70
1400,70
1500,70
1600,70
1700,70
1800,70
1900,70
2000,70
2100,70
2200,70
2300,70
2400,70
2500,70
2600,71
2700,71
2800,71
2900,71
3000,71
3100,71
3200,71
3300,71
3400,71
3500,71
3600,71
3700,72
3800,72
3900,72
4000,72
4100,72
4200,72
4300,72
4400,72
4500,72
4600,72
4700,72
4800,72
4900,72
5000,72
5100,72
5200,72
5300,72
5400,72
5500,72
5600,72
5700,72
5800,73
5900,73
6000,73
6100,73
6200,73
6300,73
6400,73
6500,73
6600,73
6700,73
6800,74
6900,74
7000,74
7100,74
7200,74
7300,74
7400,74
7500,74
7600,74
7700,74
7800,74
7900,74
8000,74
8100,74
8200,74
8300,74
8400,74
8500,74
8600,74
8700,74
8800,76
8900,76
9000,76
9100,76
9200,76
9300,76
9400,76
9500,76
9600,76
9700,76
9800,76
9900,76
10000,76
10100,76
10200,77
10300,77
10400,77
10500,77
10600,77
10700,77
10800,77
10900,78
11000,78
11100,78
11200,78
11300,78
11400,78
11500,79
11600,82
11700,82
11800,82
11900,82
12000,82
12100,82
12200,82
12300,82
12400,82
12500,82
12600,83
12700,83
12800,83
12900,83
13000,83
13100,83
13200,83
13300,83
13400,83
13500,83
13600,83
13700,83
13800,83
13900,83
14000,84
14100,84
14200,84
14300,84
14400,84
14500,84
14600,84
14700,84
14800,85
14900,85
15000,85
15100,85
15200,85
15300,85
15400,85
15500,85
15600,85
15700,86
15800,86
15900,88
16000,88
16100,88
16200,88
16300,88
16400,88
16500,88
16600,88
16700,88
16800,88
16900,88
17000,88
17100,88
17200,88
17300,89
17400,89
17500,89
17600,89
17700,89
17800,89
17900,89
18000,89
18100,90
18200,90
18300,90
18400,91
18500,91
18600,91
18700,91
18800,91
18900,91
19000,91
19100,91
19200,91
19300,91
19400,91
19500,91
19600,91
19700,91
19800,91
19900,91
20000,91
20100,91
20200,91
20300,91
20400,91
20500,91
20600,91
20700,91
20800,91
20900,92
21000,92
21100,92
21200,92
21300,92
21400,92
21500,92
21600,92
21700,93
21800,93
21900,93
22000,94
22100,94
22200,94
22300,94
22400,94
22500,94
22600,94
22700,94
22800,94
22900,94
23000,94
23100,94
23200,94
23300,94
23400,94
23500,94
23600,94
23700,94
23800,94
23900,94
24000,94
24100,94
24200,94
24300,94
24400,94
24500,94
24600,94
24700,94
24800,94
24900,94
25000,94
25100,95
25200,95
25300,95
25400,95
25500,95
25600,95
25700,95
25800,95
25900,96
26000,96
26100,96
26200,96
26300,96
26400,96
26500,96
26600,96
26700,96
26800,96
26900,96
27000,96
27100,96
27200,96
27300,96
27400,96
27500,96
27600,96
27700,96
27800,96
27900,96
28000,96
28100,96
28200,96
28300,96
28400,96
28500,96
28600,96
28700,96
28800,96
28900,96
29000,96
29100,96
29200,96
29300,97
29400,97
29500,97
29600,97
29700,97
29800,97
29900,97
30000,97
30100,97
30200,97
30300,97
30400,97
30500,97
30600,97
30700,97
30800,97
30900,97
31000,97
31100,97
31200,97
31300,97
31400,97
31500,97
